,sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment
92,5study6_2023-08-14_15h13.08.651.csv,0.16666666666666666,0.25,0.25,0.0,1.353,0.8466,7,5.0,0,4
93,5study6_2023-08-14_15h13.08.651.csv,0.16666666666666666,0.25,0.25,0.0,0.3985,0.8466,8,1.0,1,4
94,6483648c280beabafcb3797e_study6_2023-08-14_17h35.17.544.csv,0.5,0.25,0.5,0.25,3.0055,0.887,2,6.0,1,4
95,6483648c280beabafcb3797e_study6_2023-08-14_17h35.17.544.csv,0.5,0.25,0.5,0.25,0.6225,0.887,4,2.0,1,4
96,6483648c280beabafcb3797e_study6_2023-08-14_17h35.17.544.csv,0.5,0.25,0.5,0.25,0.7105,0.887,7,4.0,1,4
97,6483648c280beabafcb3797e_study6_2023-08-14_17h35.17.544.csv,0.5,0.25,0.5,0.25,0.3854,0.887,8,0.0,0,4
98,61237068bc84f5037bd32443_study6_2023-08-14_19h33.06.044.csv,0.6666666666666666,0.0,0.25,0.0,1.4315,0.85375,2,4.0,1,4
99,61237068bc84f5037bd32443_study6_2023-08-14_19h33.06.044.csv,0.6666666666666666,0.0,0.25,0.0,1.0545,0.85375,4,2.0,1,4
100,61237068bc84f5037bd32443_study6_2023-08-14_19h33.06.044.csv,0.6666666666666666,0.0,0.25,0.0,2.9734,0.85375,5,7.0,1,4
101,61237068bc84f5037bd32443_study6_2023-08-14_19h33.06.044.csv,0.6666666666666666,0.0,0.25,0.0,0.5352,0.85375,8,3.0,1,4
102,5study6_2023-08-14_15h18.10.842.csv,0.6666666666666666,0.25,0.25,0.0,2.9022,0.9802,3,4.0,1,4
103,5study6_2023-08-14_15h18.10.842.csv,0.6666666666666666,0.25,0.25,0.0,2.9278,0.9802,6,5.0,1,4
104,5study6_2023-08-14_15h18.10.842.csv,0.6666666666666666,0.25,0.25,0.0,1.5047,0.9802,7,0.0,1,4
105,5study6_2023-08-14_15h18.10.842.csv,0.6666666666666666,0.25,0.25,0.0,1.7999,0.9802,8,6.0,1,4
106,63ea5f39871e9fdef021a53d_study6_2023-08-14_16h06.25.068.csv,0.3333333333333333,0.5,0.5,0.0,6.2381,0.81625,1,0.0,1,4
107,63ea5f39871e9fdef021a53d_study6_2023-08-14_16h06.25.068.csv,0.3333333333333333,0.5,0.5,0.0,1.3181,0.81625,4,4.0,1,4
108,63ea5f39871e9fdef021a53d_study6_2023-08-14_16h06.25.068.csv,0.3333333333333333,0.5,0.5,0.0,1.0519,0.81625,5,5.0,0,4
109,63ea5f39871e9fdef021a53d_study6_2023-08-14_16h06.25.068.csv,0.3333333333333333,0.5,0.5,0.0,0.7512,0.81625,7,3.0,0,4
110,63052f20afc39e87110eb83e_study6_2023-08-14_12h38.59.035.csv,0.6666666666666666,0.5,0.5,0.25,3.1166,1.0576,2,4.0,1,4
