Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64deb661ca1c16e45346eb28,5eb32b8adc8fc511560fca82,APPROVED,,2023-08-18T00:08:12.171000Z,2023-08-18T01:05:54.577000Z,2023-09-04T09:21:15.471000Z,2023-08-18T01:05:55.054718Z,3463.0,C1EI1MLP,1165,English,22,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64deb6626a15f544217de123,5c3b70640eaa0100018ea877,APPROVED,,2023-08-18T00:08:07.603000Z,2023-08-18T01:16:15.402000Z,2023-09-04T09:21:15.610000Z,2023-08-18T01:16:15.865711Z,4088.0,C1EI1MLP,4526,English,58,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
64deb663393bcf489eac8d0b,5d42486206811e001ada5b4b,APPROVED,,2023-08-18T00:08:15.633000Z,2023-08-18T01:05:57.083000Z,2023-09-04T09:21:15.739000Z,2023-08-18T01:05:57.945020Z,3462.0,C1EI1MLP,6922,English,47,Male,White,United States,United States,United States,English,No,Full-Time
64deb6645bf44c13fa46eb42,607cbf385d3202721e3f719f,APPROVED,,2023-08-18T00:12:10.779000Z,2023-08-18T01:22:27.274000Z,2023-09-04T09:21:15.864000Z,2023-08-18T01:22:28.091663Z,4217.0,C1EI1MLP,2347,English,55,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64deb6656a15f544217de126,5eeaa8ee94a7f8046a02a20d,APPROVED,,2023-08-18T00:08:23.175000Z,2023-08-18T01:13:08.211000Z,2023-09-04T09:21:15.994000Z,2023-08-18T01:13:09.974064Z,3886.0,C1EI1MLP,2538,English,39,Male,White,United States,United States,United States,English,No,Full-Time
64deb6657c0a1376ac4765da,610898813e48dc2864965122,APPROVED,,2023-08-18T00:08:07.981000Z,2023-08-18T01:09:00.193000Z,2023-09-04T09:21:16.127000Z,2023-08-18T01:09:00.674861Z,3653.0,C1EI1MLP,3070,English,27,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
64deb666747b4fafb8e31244,63d196c147d1f420690e5b87,APPROVED,,2023-08-18T00:08:15.741000Z,2023-08-18T01:12:14.349000Z,2023-09-04T09:21:16.256000Z,2023-08-18T01:12:14.792973Z,3839.0,C1EI1MLP,567,English,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64deb66711d2aa8a06bfda0b,63d69e4d6648b39324fdf0ad,APPROVED,,2023-08-18T00:08:11.303000Z,2023-08-18T01:08:43.106000Z,2023-09-04T09:21:16.391000Z,2023-08-18T01:08:43.923040Z,3632.0,C1EI1MLP,1201,English,30,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64deb6683ecfb428b6c9f218,63eae4994d8e22b28bccb864,APPROVED,,2023-08-18T00:08:08.592000Z,2023-08-18T01:14:12.613000Z,2023-09-04T09:21:16.524000Z,2023-08-18T01:14:13.264633Z,3965.0,C1EI1MLP,359,English,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
64deb6688e8d2508a7b83bb0,5608a73fd7def20012b7389d,APPROVED,,2023-08-18T00:08:24.868000Z,2023-08-18T01:12:34.522000Z,2023-09-04T09:21:16.659000Z,2023-08-18T01:12:35.009369Z,3850.0,C1EI1MLP,5787,English,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64deb6691126bd1aefe3a5e8,5edeea354d54cb1a825aa8f9,APPROVED,,2023-08-18T00:08:09.480000Z,2023-08-18T01:17:12.951000Z,2023-09-04T09:21:16.787000Z,2023-08-18T01:17:13.750048Z,4144.0,C1EI1MLP,2472,"English, Urdu, Punjabi",46,Male,Asian,Pakistan,United Kingdom,United Kingdom,English,No,Full-Time
64deb66992462942090b394a,642d964d8bab7323494e3570,APPROVED,,2023-08-18T00:08:14.935000Z,2023-08-18T01:48:53.149000Z,2023-09-04T09:21:16.923000Z,2023-08-18T01:48:53.768562Z,6039.0,C1EI1MLP,1204,English,50,Male,Black,United States,United States,United States,English,Yes,Full-Time
