,sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment,log_rt_planning,PR
66,614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,-2.441435367804411,1.0,1.0,3.0031,1.4856,-0.8961656094626929,1,1,1,0.7038263574237004,-1.5554768135157264
67,614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,-2.441435367804411,1.0,1.0,0.5188,1.4856,0.10383439053730714,1,0,1,-1.0520555575962072,-1.5554768135157264
68,614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,-2.441435367804411,1.0,1.0,2.0356,1.4856,1.1038343905373071,1,1,1,0.31497188467618165,-1.5554768135157264
69,614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,-2.441435367804411,1.0,1.0,0.7837,1.4856,3.1038343905373074,1,1,1,-0.6395477159796772,-1.5554768135157264
70,614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,-2.441435367804411,1.0,1.0,0.6675,1.4856,6.103834390537307,1,0,1,-0.8000346197640914,-1.5554768135157264
71,614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,-2.441435367804411,1.0,1.0,0.6194,1.4856,7.103834390537307,1,1,1,-0.8748227424993937,-1.5554768135157264
72,5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,-2.191435367804411,0.75,0.75,1.5181,0.959,0.10383439053730714,1,1,1,0.45932375705523126,-1.3888101475157262
73,5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,-2.191435367804411,0.75,0.75,1.173,0.959,2.1038343905373074,1,1,1,0.20142877377003737,-1.3888101475157262
74,5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,-2.191435367804411,0.75,0.75,1.3785,0.959,3.1038343905373074,1,1,1,0.3628601555804133,-1.3888101475157262
75,5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,-2.191435367804411,0.75,0.75,1.2343,0.959,4.103834390537307,1,1,1,0.2523682118664448,-1.3888101475157262
76,5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,-2.191435367804411,0.75,0.75,1.1008,0.959,5.103834390537307,1,0,1,0.13790139229564102,-1.3888101475157262
77,5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,-2.191435367804411,0.75,0.75,1.1284,0.959,6.103834390537307,1,1,1,0.16266490424440314,-1.3888101475157262
78,5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,-2.441435367804411,1.0,0.25,0.8852,0.2271,-0.8961656094626929,1,0,1,1.3604231590653817,-1.8888101475157262
79,5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,-2.441435367804411,1.0,0.25,1.0436,0.2271,0.10383439053730714,1,0,1,1.5250411041510608,-1.8888101475157262
80,5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,-2.441435367804411,1.0,0.25,0.6691,0.2271,2.1038343905373074,1,0,1,1.0805430766772586,-1.8888101475157262
81,5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,-2.441435367804411,1.0,0.25,0.6752,0.2271,3.1038343905373074,1,0,1,1.0896184941702347,-1.8888101475157262
82,5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,-2.441435367804411,1.0,0.25,0.8295,0.2271,4.103834390537307,1,1,1,1.2954326605189863,-1.8888101475157262
83,5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,-2.441435367804411,1.0,0.25,0.6434,0.2271,7.103834390537307,1,1,1,1.0413761656934133,-1.8888101475157262
84,5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,-2.441435367804411,1.0,0.75,1.6182,0.37275,-0.8961656094626929,1,1,1,1.4681617457288916,-1.7221434805157263
