sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers
5d3e3541fd9694001a2d1789_study5_pr_2_2023-06-22_15h59.57.837.csv,0.5,0.5,1.0,0.0,1.5244,0.7838,1,4.0,1
5d3e3541fd9694001a2d1789_study5_pr_2_2023-06-22_15h59.57.837.csv,0.5,0.5,1.0,0.0,1.1966,0.7838,2,2.0,1
5d3e3541fd9694001a2d1789_study5_pr_2_2023-06-22_15h59.57.837.csv,0.5,0.5,1.0,0.0,0.9882,0.7838,3,1.0,1
5d3e3541fd9694001a2d1789_study5_pr_2_2023-06-22_15h59.57.837.csv,0.5,0.5,1.0,0.0,0.7798,0.7838,4,6.0,0
5d3dd59e791fe2001673f587_study5_pr_2_2023-06-22_14h57.48.500.csv,0.3333333333333333,0.5,0.75,0.0,2.1831,0.82355,1,7.0,1
5d3dd59e791fe2001673f587_study5_pr_2_2023-06-22_14h57.48.500.csv,0.3333333333333333,0.5,0.75,0.0,6.2868,0.82355,2,4.0,1
5d3dd59e791fe2001673f587_study5_pr_2_2023-06-22_14h57.48.500.csv,0.3333333333333333,0.5,0.75,0.0,1.3353,0.82355,3,3.0,0
5d3dd59e791fe2001673f587_study5_pr_2_2023-06-22_14h57.48.500.csv,0.3333333333333333,0.5,0.75,0.0,1.1673,0.82355,4,0.0,0
641358a332a1837ff26bb10e_study5_pr_2_2023-06-22_15h35.56.326.csv,0.5,0.75,0.75,0.0,2.7612,0.65115,1,6.0,0
641358a332a1837ff26bb10e_study5_pr_2_2023-06-22_15h35.56.326.csv,0.5,0.75,0.75,0.0,0.6399,0.65115,2,2.0,1
641358a332a1837ff26bb10e_study5_pr_2_2023-06-22_15h35.56.326.csv,0.5,0.75,0.75,0.0,5.805,0.65115,3,1.0,1
641358a332a1837ff26bb10e_study5_pr_2_2023-06-22_15h35.56.326.csv,0.5,0.75,0.75,0.0,1.9062,0.65115,4,7.0,1
5ea96886ef7ece0604eee527_study5_pr_2_2023-06-22_18h53.00.866.csv,0.5,0.5,1.0,0.5,0.3388,0.47419999999999995,1,4.0,1
5ea96886ef7ece0604eee527_study5_pr_2_2023-06-22_18h53.00.866.csv,0.5,0.5,1.0,0.5,0.3025,0.47419999999999995,2,5.0,1
5ea96886ef7ece0604eee527_study5_pr_2_2023-06-22_18h53.00.866.csv,0.5,0.5,1.0,0.5,0.2344,0.47419999999999995,3,6.0,1
5ea96886ef7ece0604eee527_study5_pr_2_2023-06-22_18h53.00.866.csv,0.5,0.5,1.0,0.5,1.3059,0.47419999999999995,4,0.0,0
63ee09a8b6db0d49e7c72de4_study5_pr_2_2023-06-22_15h13.38.642.csv,0.3333333333333333,0.5,1.0,0.0,0.5171,0.3808,1,4.0,1
63ee09a8b6db0d49e7c72de4_study5_pr_2_2023-06-22_15h13.38.642.csv,0.3333333333333333,0.5,1.0,0.0,1.4336,0.3808,2,2.0,0
63ee09a8b6db0d49e7c72de4_study5_pr_2_2023-06-22_15h13.38.642.csv,0.3333333333333333,0.5,1.0,0.0,0.4706,0.3808,3,6.0,1
63ee09a8b6db0d49e7c72de4_study5_pr_2_2023-06-22_15h13.38.642.csv,0.3333333333333333,0.5,1.0,0.0,0.9019,0.3808,4,1.0,0
5db85ef927db78000dcd3d5c_study5_pr_2_2023-06-22_16h02.26.703.csv,0.3333333333333333,0.5,1.0,1.0,0.5837,0.2575,1,4.0,0
5db85ef927db78000dcd3d5c_study5_pr_2_2023-06-22_16h02.26.703.csv,0.3333333333333333,0.5,1.0,1.0,1.2525,0.2575,2,5.0,1
5db85ef927db78000dcd3d5c_study5_pr_2_2023-06-22_16h02.26.703.csv,0.3333333333333333,0.5,1.0,1.0,0.5005,0.2575,3,3.0,1
5db85ef927db78000dcd3d5c_study5_pr_2_2023-06-22_16h02.26.703.csv,0.3333333333333333,0.5,1.0,1.0,0.5531,0.2575,4,6.0,0
642da8d6414249fa3f227e4a_study5_pr_2_2023-06-22_15h02.32.243.csv,0.5,0.5,1.0,0.0,9.5433,0.5267999999999999,1,1.0,1
642da8d6414249fa3f227e4a_study5_pr_2_2023-06-22_15h02.32.243.csv,0.5,0.5,1.0,0.0,1.3474,0.5267999999999999,2,0.0,1
642da8d6414249fa3f227e4a_study5_pr_2_2023-06-22_15h02.32.243.csv,0.5,0.5,1.0,0.0,2.2346,0.5267999999999999,3,6.0,0
642da8d6414249fa3f227e4a_study5_pr_2_2023-06-22_15h02.32.243.csv,0.5,0.5,1.0,0.0,1.6036,0.5267999999999999,4,5.0,1
