,sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers
121,63174a95078b149cd17f7873_study3_2022-12-08_13h11.28.827.csv,0.6666666666666666,0.5,0.5,0.25,0.7384,0.9867,2,6.0,0
122,63174a95078b149cd17f7873_study3_2022-12-08_13h11.28.827.csv,0.6666666666666666,0.5,0.5,0.25,1.085,0.9867,3,9.0,1
123,63174a95078b149cd17f7873_study3_2022-12-08_13h11.28.827.csv,0.6666666666666666,0.5,0.5,0.25,2.8005,0.9867,4,8.0,0
124,63174a95078b149cd17f7873_study3_2022-12-08_13h11.28.827.csv,0.6666666666666666,0.5,0.5,0.25,0.7337,0.9867,5,7.0,0
125,63174a95078b149cd17f7873_study3_2022-12-08_13h11.28.827.csv,0.6666666666666666,0.5,0.5,0.25,4.2054,0.9867,6,1.0,0
126,5PARTICIPANT_study3_2022-12-08_09h02.49.966.csv,1.0,0.5,1.0,0.5,0.9782,0.7355,1,8.0,0
127,5PARTICIPANT_study3_2022-12-08_09h02.49.966.csv,1.0,0.5,1.0,0.5,0.6241,0.7355,2,2.0,0
128,5PARTICIPANT_study3_2022-12-08_09h02.49.966.csv,1.0,0.5,1.0,0.5,0.5387,0.7355,3,9.0,0
129,5PARTICIPANT_study3_2022-12-08_09h02.49.966.csv,1.0,0.5,1.0,0.5,1.1876,0.7355,4,0.0,0
130,5PARTICIPANT_study3_2022-12-08_09h02.49.966.csv,1.0,0.5,1.0,0.5,0.8947,0.7355,5,1.0,0
131,5PARTICIPANT_study3_2022-12-08_09h02.49.966.csv,1.0,0.5,1.0,0.5,0.8054,0.7355,6,6.0,0
132,6311b30d2049ac9c91901586_study3_2022-12-08_09h27.36.180.csv,0.16666666666666666,1.0,0.5,0.25,1.9745,1.0022,1,7.0,0
133,6311b30d2049ac9c91901586_study3_2022-12-08_09h27.36.180.csv,0.16666666666666666,1.0,0.5,0.25,1.0376,1.0022,2,5.0,1
134,6311b30d2049ac9c91901586_study3_2022-12-08_09h27.36.180.csv,0.16666666666666666,1.0,0.5,0.25,1.2044,1.0022,3,0.0,1
135,6311b30d2049ac9c91901586_study3_2022-12-08_09h27.36.180.csv,0.16666666666666666,1.0,0.5,0.25,1.4435,1.0022,4,9.0,1
136,6311b30d2049ac9c91901586_study3_2022-12-08_09h27.36.180.csv,0.16666666666666666,1.0,0.5,0.25,0.8426,1.0022,5,2.0,1
137,6311b30d2049ac9c91901586_study3_2022-12-08_09h27.36.180.csv,0.16666666666666666,1.0,0.5,0.25,1.3301,1.0022,6,3.0,1
138,5b1775aebdf4e10001631c75_study3_2022-12-08_09h16.09.398.csv,1.0,0.75,0.75,0.5,0.9095,1.0463,1,7.0,0
139,5b1775aebdf4e10001631c75_study3_2022-12-08_09h16.09.398.csv,1.0,0.75,0.75,0.5,0.8783,1.0463,2,1.0,0
140,5b1775aebdf4e10001631c75_study3_2022-12-08_09h16.09.398.csv,1.0,0.75,0.75,0.5,0.8457,1.0463,3,6.0,0
141,5b1775aebdf4e10001631c75_study3_2022-12-08_09h16.09.398.csv,1.0,0.75,0.75,0.5,0.7841,1.0463,4,2.0,0
142,5b1775aebdf4e10001631c75_study3_2022-12-08_09h16.09.398.csv,1.0,0.75,0.75,0.5,0.9197,1.0463,5,4.0,0
