Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
63069be48dabf6564a6b2612,613a469755c08ab3b9d682ad,APPROVED,2022-08-24T21:45:13.639000Z,2022-08-24T23:19:18.524000Z,2022-09-02T13:27:38.815000Z,2022-08-24T23:19:18.940593Z,5645.0,763C1391,352,1.0,100.0,"English, Spanish",25,Female,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time,
63069be4624198864ecbac03,5fdf808af53c7a7e9199b430,APPROVED,2022-08-24T21:45:11.831000Z,2022-08-24T23:47:21.625000Z,2022-09-02T13:27:38.728000Z,2022-08-24T23:47:21.980377Z,7330.0,763C1391,227,2.0,100.0,"Polish, English",23,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking),
630702225383d2a2d327a97d,545d347afdf99b7f9fca22c7,APPROVED,2022-08-25T05:02:14.537000Z,2022-08-25T06:42:28.419000Z,2022-09-02T13:27:38.903000Z,2022-08-25T06:42:28.747986Z,6014.0,763C1391,1012,5.0,100.0,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
63070222649bbdb2013bb8c5,5d31266f466cc90019de4e43,APPROVED,2022-08-25T05:01:24.293000Z,2022-08-25T07:10:36.084000Z,2022-09-02T13:27:39Z,2022-08-25T07:10:50.412057Z,7752.0,763C1391,328,4.0,99.0,English,39,Female,Black,United States,United States,United States,English,Yes,Full-Time,
63070223a3be4e1601c5a9ff,5efef32a88bb6a01c8087591,APPROVED,2022-08-25T05:01:23.648000Z,2022-08-25T07:13:13.902000Z,2022-09-02T13:27:39.098000Z,2022-08-25T07:13:14.265167Z,7911.0,763C1391,559,0.0,100.0,English,21,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),
630702a565098fe89a067c19,5fd7782dee03dc08d3f3f491,APPROVED,2022-08-25T05:03:33.957000Z,2022-08-25T06:38:38.569000Z,2022-09-02T13:27:39.194000Z,2022-08-25T06:38:38.928827Z,5705.0,763C1391,1586,0.0,100.0,"English, Armenian, Arabic",39,Male,White,United States,United States,United States,English,No,Part-Time,
63071e9b49d2685c18a13f53,5974ce5364b35a00019dd811,APPROVED,2022-08-25T07:05:22.245000Z,2022-08-25T08:47:40.549000Z,2022-09-02T13:27:39.290000Z,2022-08-25T08:47:41.212276Z,6139.0,763C1391,659,4.0,99.0,"English, French",23,Male,White,France,France,France,French,No,Full-Time,
63066ab03f17ba0bf4f32a1e,60087e9189ddb34b79b08be5,RETURNED,2022-08-24T18:15:12.419000Z,,,,,,1117,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
63066ab20aeaec2502f68727,610c39c4c8c39fd3b5a57488,RETURNED,2022-08-24T18:26:00.014000Z,,,,,,207,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
63066ab53a48fc12b5a31e96,5adf69c1944de80001ddc254,RETURNED,2022-08-24T18:16:33.755000Z,,,,,,673,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
