,s1_image,s2_image,s3_image,action1,action2
138,trident.png,bell.png,tophat.png,1,8
139,trident.png,fox.png,apple.png,1,8
140,planet.png,tree.png,snorkel.png,9,8
141,trident.png,fox.png,hammer.png,1,2
142,trident.png,fox.png,apple.png,1,8
143,trident.png,tree.png,snorkel.png,1,8
144,trident.png,fox.png,hammer.png,1,2
145,trident.png,fox.png,hammer.png,1,2
146,planet.png,bell.png,tophat.png,9,8
147,trident.png,fox.png,apple.png,1,8
148,trident.png,fox.png,hammer.png,1,2
149,trident.png,fox.png,hammer.png,1,2
150,planet.png,tree.png,snorkel.png,9,8
151,trident.png,fox.png,apple.png,1,8
152,planet.png,bell.png,train.png,9,2
153,planet.png,tree.png,north.png,9,2
154,planet.png,bell.png,tophat.png,9,8
155,trident.png,fox.png,apple.png,1,8
156,planet.png,tree.png,north.png,9,2
157,trident.png,bell.png,train.png,1,2
158,planet.png,tree.png,north.png,9,2
159,trident.png,bell.png,tophat.png,1,8
160,trident.png,bell.png,tophat.png,1,8
161,trident.png,bell.png,tophat.png,1,8
162,trident.png,fox.png,apple.png,1,8
163,planet.png,bell.png,train.png,9,2
164,trident.png,fox.png,hammer.png,1,2
165,trident.png,tree.png,snorkel.png,1,8
166,trident.png,bell.png,train.png,1,2
167,trident.png,tree.png,north.png,1,2
168,trident.png,fox.png,apple.png,1,8
169,trident.png,bell.png,tophat.png,1,8
170,trident.png,tree.png,snorkel.png,1,8
171,trident.png,bell.png,tophat.png,1,8
172,trident.png,bell.png,train.png,1,2
173,planet.png,bell.png,tophat.png,9,8
174,trident.png,bell.png,tophat.png,1,8
175,trident.png,bell.png,train.png,1,2
176,trident.png,bell.png,train.png,1,2
177,trident.png,tree.png,north.png,1,2
178,planet.png,bell.png,tophat.png,9,8
179,trident.png,tree.png,north.png,1,2
180,trident.png,fox.png,hammer.png,1,2
181,trident.png,tree.png,north.png,1,2
182,trident.png,bell.png,tophat.png,1,8
183,trident.png,tree.png,north.png,1,2
184,trident.png,bell.png,tophat.png,1,8
185,trident.png,fox.png,apple.png,1,8
186,trident.png,fox.png,hammer.png,1,2
187,trident.png,tree.png,snorkel.png,1,8
188,planet.png,bell.png,train.png,9,2
189,trident.png,fox.png,hammer.png,1,2
190,trident.png,bell.png,tophat.png,1,8
191,planet.png,bell.png,tophat.png,9,8
192,trident.png,bell.png,train.png,1,2
193,trident.png,watch.png,compass.png,1,8
194,trident.png,tree.png,north.png,1,2
195,trident.png,fox.png,apple.png,1,8
196,planet.png,bell.png,train.png,9,2
