sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,0.75,0.75,0.75,4.4296,0.29985,1,4,0,2
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,0.75,0.75,0.75,3.0632,0.29985,2,2,1,2
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,0.75,0.75,0.75,0.6002,0.29985,3,3,1,2
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,0.75,0.75,0.75,0.6151,0.29985,4,8,1,2
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,0.75,0.75,0.75,0.2814,0.29985,5,9,1,2
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,0.75,0.75,0.75,0.3773,0.29985,6,5,1,2
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,0.5,1,0.25,0.9094,0.45285,1,6,0,2
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,0.5,1,0.25,0.12,0.45285,2,5,1,2
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,0.5,1,0.25,0.7945,0.45285,3,9,1,2
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,0.5,1,0.25,0.6854,0.45285,4,3,1,2
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,0.5,1,0.25,0.3354,0.45285,5,4,1,2
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,0.5,1,0.25,0.4861,0.45285,6,8,1,2
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,0.25,0.75,0.75,1.6833,0.23345,1,0,0,2
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,0.25,0.75,0.75,1.1505,0.23345,2,2,1,2
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,0.25,0.75,0.75,0.7878,0.23345,3,8,1,2
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,0.25,0.75,0.75,0.9895,0.23345,4,9,0,2
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,0.25,0.75,0.75,1.3989,0.23345,5,1,1,2
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,0.25,0.75,0.75,0.8009,0.23345,6,3,1,2
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1,0.75,0.9004,0.7324,1,8,1,2
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1,0.75,0.8433,0.7324,2,1,0,2
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1,0.75,0.4981,0.7324,3,5,0,2
