sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment
587d4ed4e4404c0001c9d1b9_study3_2022-12-08_15h02.54.969.csv,1,0.5,1,0,1.7554,0.91215,1,4,0,2
587d4ed4e4404c0001c9d1b9_study3_2022-12-08_15h02.54.969.csv,1,0.5,1,0,0.4767,0.91215,2,0,0,2
587d4ed4e4404c0001c9d1b9_study3_2022-12-08_15h02.54.969.csv,1,0.5,1,0,0.7004,0.91215,3,8,0,2
587d4ed4e4404c0001c9d1b9_study3_2022-12-08_15h02.54.969.csv,1,0.5,1,0,1.7608,0.91215,4,9,0,2
587d4ed4e4404c0001c9d1b9_study3_2022-12-08_15h02.54.969.csv,1,0.5,1,0,0.7115,0.91215,5,2,0,2
587d4ed4e4404c0001c9d1b9_study3_2022-12-08_15h02.54.969.csv,1,0.5,1,0,0.8725,0.91215,6,1,0,2
5d430fdf871f1700017b2a81_study3_2022-12-08_09h13.48.176.csv,0.166666667,0.5,1,0,1.9935,1.2194,1,5,1,2
5d430fdf871f1700017b2a81_study3_2022-12-08_09h13.48.176.csv,0.166666667,0.5,1,0,1.5394,1.2194,2,1,1,2
5d430fdf871f1700017b2a81_study3_2022-12-08_09h13.48.176.csv,0.166666667,0.5,1,0,2.1478,1.2194,3,9,1,2
5d430fdf871f1700017b2a81_study3_2022-12-08_09h13.48.176.csv,0.166666667,0.5,1,0,2.551,1.2194,4,8,0,2
5d430fdf871f1700017b2a81_study3_2022-12-08_09h13.48.176.csv,0.166666667,0.5,1,0,1.2641,1.2194,5,7,1,2
5d430fdf871f1700017b2a81_study3_2022-12-08_09h13.48.176.csv,0.166666667,0.5,1,0,2.634,1.2194,6,2,1,2
6116f7d468a5db3c416d5f00_study3_2022-12-08_10h26.40.788.csv,0,0,0.5,0.75,2.7354,1.47275,1,7,1,2
6116f7d468a5db3c416d5f00_study3_2022-12-08_10h26.40.788.csv,0,0,0.5,0.75,2.5527,1.47275,2,6,1,2
6116f7d468a5db3c416d5f00_study3_2022-12-08_10h26.40.788.csv,0,0,0.5,0.75,1.4291,1.47275,3,1,1,2
6116f7d468a5db3c416d5f00_study3_2022-12-08_10h26.40.788.csv,0,0,0.5,0.75,2.4062,1.47275,4,9,1,2
