,sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment,log_rt_planning,PR,MB,BR
96,6483648c280beabafcb3797e_study6_2023-08-14_17h35.17.544.csv,0.5,0.25,0.5,0.25,0.7105,0.887,3,4,0,1,-0.22187603477242415,-0.7684350960957245,-0.6012688978323589,-2.1968348900279673
97,6483648c280beabafcb3797e_study6_2023-08-14_17h35.17.544.csv,0.5,0.25,0.5,0.25,0.3854,0.887,4,0,1,1,-0.8335632263293135,-0.7684350960957245,-0.6012688978323589,-2.1968348900279673
98,61237068bc84f5037bd32443_study6_2023-08-14_19h33.06.044.csv,0.666666667,0.0,0.25,0.0,1.4315,0.85375,1,4,0,1,0.5168397136531699,-0.9351017630957245,-0.8512688978323589,-2.4468348900279673
99,61237068bc84f5037bd32443_study6_2023-08-14_19h33.06.044.csv,0.666666667,0.0,0.25,0.0,1.0545,0.85375,2,2,0,1,0.21118358903382944,-0.9351017630957245,-0.8512688978323589,-2.4468348900279673
100,61237068bc84f5037bd32443_study6_2023-08-14_19h33.06.044.csv,0.666666667,0.0,0.25,0.0,2.9734,0.85375,3,7,0,1,1.2478229472942506,-0.9351017630957245,-0.8512688978323589,-2.4468348900279673
101,61237068bc84f5037bd32443_study6_2023-08-14_19h33.06.044.csv,0.666666667,0.0,0.25,0.0,0.5352,0.85375,4,3,0,1,-0.4669979020709811,-0.9351017630957245,-0.8512688978323589,-2.4468348900279673
102,5study6_2023-08-14_15h18.10.842.csv,0.666666667,0.25,0.25,0.0,2.9022,0.9802,1,4,0,1,1.0854677165815454,-0.9351017630957245,-0.8512688978323589,-2.1968348900279673
103,5study6_2023-08-14_15h18.10.842.csv,0.666666667,0.25,0.25,0.0,2.9278,0.9802,2,5,0,1,1.0942499342618643,-0.9351017630957245,-0.8512688978323589,-2.1968348900279673
104,5study6_2023-08-14_15h18.10.842.csv,0.666666667,0.25,0.25,0.0,1.5047,0.9802,3,0,0,1,0.42859218928938525,-0.9351017630957245,-0.8512688978323589,-2.1968348900279673
105,5study6_2023-08-14_15h18.10.842.csv,0.666666667,0.25,0.25,0.0,1.7999,0.9802,4,6,0,1,0.6077297543099863,-0.9351017630957245,-0.8512688978323589,-2.1968348900279673
106,63ea5f39871e9fdef021a53d_study6_2023-08-14_16h06.25.068.csv,0.333333333,0.5,0.5,0.0,6.2381,0.81625,1,0,0,1,2.033710247227712,-0.6017684290957245,-0.8512688978323589,-1.9468348900279673
107,63ea5f39871e9fdef021a53d_study6_2023-08-14_16h06.25.068.csv,0.333333333,0.5,0.5,0.0,1.3181,0.81625,2,4,0,1,0.47922590412777927,-0.6017684290957245,-0.8512688978323589,-1.9468348900279673
108,63ea5f39871e9fdef021a53d_study6_2023-08-14_16h06.25.068.csv,0.333333333,0.5,0.5,0.0,1.0519,0.81625,3,5,1,1,0.2536326511545876,-0.6017684290957245,-0.8512688978323589,-1.9468348900279673
109,63ea5f39871e9fdef021a53d_study6_2023-08-14_16h06.25.068.csv,0.333333333,0.5,0.5,0.0,0.7512,0.81625,4,3,1,1,-0.08304875269658772,-0.6017684290957245,-0.8512688978323589,-1.9468348900279673
110,63052f20afc39e87110eb83e_study6_2023-08-14_12h38.59.035.csv,0.666666667,0.5,0.5,0.25,3.1166,1.0576,1,4,0,1,1.0807404739140922,-0.9351017630957245,-0.6012688978323589,-1.9468348900279673
111,63052f20afc39e87110eb83e_study6_2023-08-14_12h38.59.035.csv,0.666666667,0.5,0.5,0.25,4.5053,1.0576,2,3,0,1,1.4492522914026285,-0.9351017630957245,-0.6012688978323589,-1.9468348900279673
112,63052f20afc39e87110eb83e_study6_2023-08-14_12h38.59.035.csv,0.666666667,0.5,0.5,0.25,3.3876,1.0576,3,2,0,1,1.164119515950022,-0.9351017630957245,-0.6012688978323589,-1.9468348900279673
