sub,choice,PR_EV,SR_EV,MB_EV,BR_EV
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,1,0.5,0.025,0.025,-1.0
5Caleb_study2_2022-11-23_09h22.30.683.csv,1,0.2,-0.15,-0.15,1.0
5Caleb_study2_2022-11-23_09h22.30.683.csv,0,0.2,-0.15,-0.15,1.0
5Caleb_study2_2022-11-23_09h22.30.683.csv,1,1.0,0.2,0.2,1.0
5Caleb_study2_2022-11-23_09h22.30.683.csv,1,0.5,0.025,0.025,-1.0
5Caleb_study2_2022-11-23_09h22.30.683.csv,0,0.2,-0.08,-0.08,1.0
5Caleb_study2_2022-11-23_09h22.30.683.csv,1,1.0,0.2,0.2,1.0
5Caleb_study2_2022-11-23_09h22.30.683.csv,0,0.2,-0.08,-0.08,1.0
5Caleb_study2_2022-11-23_09h22.30.683.csv,1,0.2,-0.08,-0.08,1.0
5Caleb_study2_2022-11-23_09h22.30.683.csv,1,0.2,-0.08,-0.08,1.0
5Caleb_study2_2022-11-23_09h22.30.683.csv,1,0.5,0.025,0.025,-1.0
5Caleb_study2_2022-11-23_09h22.30.683.csv,1,0.0,0.0,0.5,1.0
5Caleb_study2_2022-11-23_09h22.30.683.csv,0,0.0,0.0,0.5,-1.0
5Caleb_study2_2022-11-23_09h22.30.683.csv,1,0.0,0.0,0.5,1.0
5Caleb_study2_2022-11-23_09h22.30.683.csv,1,0.0,0.0,0.5,-1.0
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,1,0.5,0.025,0.025,-1.0
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,1,0.2,-0.08,-0.08,1.0
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,1,0.2,-0.15,-0.15,1.0
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,1,0.2,-0.08,-0.08,1.0
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,1,0.2,-0.08,-0.08,1.0
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,1,1.0,0.2,0.2,1.0
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,1,1.0,0.2,0.2,1.0
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0,0.2,-0.15,-0.15,1.0
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,1,0.5,0.025,0.025,-1.0
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,1,0.2,-0.08,-0.08,1.0
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0,0.0,0.0,0.5,-1.0
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,1,0.0,0.0,0.5,1.0
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,1,0.0,0.0,0.5,1.0
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,1,0.0,0.0,0.5,-1.0
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,1,1.0,0.2,0.2,1.0
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0,0.2,-0.08,-0.08,1.0
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,1,0.5,0.025,0.025,-1.0
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0,0.2,-0.15,-0.15,1.0
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,1,0.2,-0.08,-0.08,1.0
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,1,0.5,0.025,0.025,-1.0
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,1,0.2,-0.08,-0.08,1.0
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,1,1.0,0.2,0.2,1.0
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,1,0.2,-0.15,-0.15,1.0
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0,0.2,-0.08,-0.08,1.0
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0,0.0,0.0,0.5,-1.0
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0,0.0,0.0,0.5,1.0
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0,0.0,0.0,0.5,1.0
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,1,0.0,0.0,0.5,-1.0
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0,0.2,-0.08,-0.08,1.0
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,1,0.2,-0.15,-0.15,1.0
