sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.6666666666666666,0.25,0.25,0.5,0.8316,0.8605,6,9.0,1
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.6666666666666666,0.75,0.75,0.25,1.1667,0.9836,1,0.0,1
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.6666666666666666,0.75,0.75,0.25,1.3692,0.9836,2,7.0,1
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.6666666666666666,0.75,0.75,0.25,1.802,0.9836,3,5.0,0
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.6666666666666666,0.75,0.75,0.25,0.7082,0.9836,4,4.0,1
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.6666666666666666,0.75,0.75,0.25,0.588,0.9836,5,2.0,1
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.6666666666666666,0.75,0.75,0.25,1.1348,0.9836,6,8.0,0
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,1.1589,0.852,1,1.0,0
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,0.8678,0.852,2,4.0,1
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,0.6747,0.852,3,3.0,1
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,0.5844,0.852,4,5.0,1
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,0.8685,0.852,5,0.0,0
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,1.0836,0.852,6,9.0,0
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.3333333333333333,0.75,0.25,0.5,3.4157,0.99385,1,1.0,1
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.3333333333333333,0.75,0.25,0.5,1.5589,0.99385,2,4.0,0
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.3333333333333333,0.75,0.25,0.5,0.6898,0.99385,3,3.0,0
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.3333333333333333,0.75,0.25,0.5,0.6836,0.99385,4,7.0,1
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.3333333333333333,0.75,0.25,0.5,0.6171,0.99385,5,6.0,0
5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.3333333333333333,0.75,0.25,0.5,0.6736,0.99385,6,9.0,0
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0.0,0.5,1.0,1.0,9.4198,0.40249999999999997,1,2.0,0
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0.0,0.5,1.0,1.0,1.7758,0.40249999999999997,2,3.0,0
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0.0,0.5,1.0,1.0,0.9019,0.40249999999999997,3,4.0,0
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0.0,0.5,1.0,1.0,0.8688,0.40249999999999997,4,1.0,0
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0.0,0.5,1.0,1.0,0.772,0.40249999999999997,5,6.0,0
5PARTICIPANT_study2_2022-11-23_10h51.57.760.csv,0.0,0.5,1.0,1.0,1.5092,0.40249999999999997,6,8.0,0
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1.0,0.5,1.0,0.5,3.282,0.9235,1,5.0,1
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1.0,0.5,1.0,0.5,0.587,0.9235,2,8.0,1
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1.0,0.5,1.0,0.5,0.56,0.9235,3,7.0,1
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1.0,0.5,1.0,0.5,0.619,0.9235,4,4.0,1
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1.0,0.5,1.0,0.5,0.686,0.9235,5,3.0,1
5d00bb3b51669b000136a986_study2_2022-11-23_11h09.39.470.csv,1.0,0.5,1.0,0.5,0.357,0.9235,6,1.0,1
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.3333333333333333,0.5,1.0,0.5,1.0003,0.2668,1,7.0,1
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.3333333333333333,0.5,1.0,0.5,1.6836,0.2668,2,6.0,0
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.3333333333333333,0.5,1.0,0.5,0.4495,0.2668,3,0.0,0
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.3333333333333333,0.5,1.0,0.5,0.6003,0.2668,4,4.0,0
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.3333333333333333,0.5,1.0,0.5,0.3335,0.2668,5,2.0,0
5Loredana_study2_2022-11-23_10h54.43.783.csv,0.3333333333333333,0.5,1.0,0.5,0.7248,0.2668,6,9.0,1
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.8333333333333334,0.5,1.0,0.5,1.502,0.369,1,8.0,1
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.8333333333333334,0.5,1.0,0.5,0.502,0.369,2,3.0,1
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.8333333333333334,0.5,1.0,0.5,1.618,0.369,3,6.0,0
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.8333333333333334,0.5,1.0,0.5,0.552,0.369,4,4.0,1
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.8333333333333334,0.5,1.0,0.5,0.418,0.369,5,2.0,1
60ddfb3db6a71ad9ba75e387_study2_2022-11-23_11h15.19.267.csv,0.8333333333333334,0.5,1.0,0.5,0.418,0.369,6,5.0,1
